transaction_date,day_of_week,city,lat,long,transaction_type,description,detailed_notes,category,subcategory,amount_USD,amount_ARS,ARS/USD,Questions
1/22/24,Monday,Colonia,-34.1295,-57.6605,credit,WWW.HOSTELWORLD.COM,hostel,Accommodation,Hostel,8.05,,,
1/22/24,Monday,Colonia,-34.1295,-57.6605,credit,WWW.HOSTELWORLD.COM,hostel,Accommodation,Hostel,20.02,,,
1/22/24,Monday,Buenos Aires,-34.6037,-58.3816,credit,TURIL I,unknown,Misc,,27.96,,,
1/22/24,Monday,Colonia,-34.1295,-57.6605,credit,MERCPAGO*COLONIAEXPRES,to colonia ferry,Transportation,,69.43,,,
1/22/24,Monday,Buenos Aires,-34.6037,-58.3816,credit,MERCPAGO*COLONIAEXPRES,to BA ferry,Transportation,,73.88,,,
1/23/24,Tuesday,Buenos Aires,-34.6037,-58.3816,cash,bread,bread,Groceries,,0.63,750.00,,estimate usd
1/23/24,Tuesday,Buenos Aires,-34.6037,-58.3816,cash,tango clase,tango clase,Excursion,,5.03,6000.00,,estimate usd
1/23/24,Tuesday,Buenos Aires,-34.6037,-58.3816,credit,MERCADOPAGO*UBUCAFE 1942,coffee,Snacks,Coffee,5.51,6400.00,,
1/23/24,Tuesday,Buenos Aires,-34.6037,-58.3816,cash,tango lessons package,tango lessons package,Excursion,,7.54,9000.00,,estimate usd
1/23/24,Tuesday,Buenos Aires,-34.6037,-58.3816,credit,Market Palermo (Soler4415,groceries,Groceries,,20.90,24256.08,,
1/24/24,Wednesday,Buenos Aires,-34.6037,-58.3816,credit,Market Palermo (Soler4415,groceries,Groceries,,3.72,4314.00,,
1/24/24,Wednesday,Buenos Aires,-34.6037,-58.3816,credit,CUERVO CAFE,coffee,Snacks,Coffee,5.01,,,
1/24/24,Wednesday,Buenos Aires,-34.6037,-58.3816,debit,cotot,groceries,Groceries,,11.33,13516.79,,estimate usd
1/25/24,Thursday,Buenos Aires,-34.6037,-58.3816,cash,bananas!,bananas!,Groceries,,1.74,2080.00,,estimate usd
1/25/24,Thursday,Buenos Aires,-34.6037,-58.3816,credit,MERCADOPAGO*UBUCAFE 1942,coffee,Snacks,Coffee,5.52,6400.00,,
1/25/24,Thursday,Buenos Aires,-34.6037,-58.3816,credit,RAPPI ARG S.A.S.,snackadoos,Snacks,,7.29,8275.28,,
1/26/24,Friday,Buenos Aires,-34.6037,-58.3816,credit,COTO 024 1519,groceries,Groceries,,7.64,8664.33,,
1/26/24,Friday,Buenos Aires,-34.6037,-58.3816,credit,RAPPI ARG S.A.S.,lunch,Dining,,8.12,9214.50,,
1/26/24,Friday,Buenos Aires,-34.6037,-58.3816,cash,produce,produce,Groceries,,11.37,13570.00,,estimate usd
1/28/24,Sunday,Buenos Aires,-34.6037,-58.3816,cash,coffee,coffee,Snacks,Coffee,2.62,3120.00,,estimate usd
1/28/24,Sunday,Buenos Aires,-34.6037,-58.3816,credit,Market Palermo (Soler4415,snackadoos,Snacks,,10.58,11650.30,,
1/28/24,Sunday,Buenos Aires,-34.6037,-58.3816,credit,MERCADOPAGO*UBUCAFE 1942,ubu lunch,Dining,,13.35,14700.00,,
1/29/24,Monday,Buenos Aires,-34.6037,-58.3816,cash,tip at aussie cafe,tip at aussie cafe,Dining,,2.51,3000.00,,estimate usd
1/29/24,Monday,Buenos Aires,-34.6037,-58.3816,credit,RAPPI ARG S.A.S.,snackadoos,Snacks,,4.63,5284.80,,
1/29/24,Monday,Buenos Aires,-34.6037,-58.3816,cash,dinner at la hormiga,dinner at la hormiga,Dining,,9.64,11500.00,,estimate usd
1/29/24,Monday,Buenos Aires,-34.6037,-58.3816,credit,CASADINGO 1104,brunch,Dining,,26.06,28700.00,,
1/30/24,Tuesday,Buenos Aires,-34.6037,-58.3816,credit,COLONIA EXPRES,coffee,Snacks,Coffee,3.03,3460.00,,
1/30/24,Tuesday,Colonia,-34.1295,-57.6605,credit,EL VIAJERO COLONIA HOSTEL,hostel,Accommodation,Hostel,3.57,,,no ars estimate
1/30/24,Tuesday,Buenos Aires,-34.6037,-58.3816,credit,UBER 9429,to ferrry,Transportation,,5.28,6028.00,,
1/30/24,Tuesday,Colonia,-34.1295,-57.6605,credit,FARMASHOP,farmacy,Health,,8.22,,,no ars estimate
1/30/24,Tuesday,Colonia,-34.1295,-57.6605,credit,Handy*La Promesa,lunch,Dining,,18.95,,,no ars estimate
1/30/24,Tuesday,Colonia,-34.1295,-57.6605,cash,pasta restaurant in colonia,pasta restaurant in colonia,Dining,,41.00,,,estimate usd
1/30/24,Tuesday,Colonia,-34.1295,-57.6605,credit,EL VIAJERO COLONIA HOSTEL,hostel,Accommodation,Hostel,45.63,,,
1/31/24,Wednesday,Colonia,-34.1295,-57.6605,credit,Handy*Museo del Origami,museum,Excursion,,3.83,,,no ars estimate
1/31/24,Wednesday,Colonia,-34.1295,-57.6605,credit,A LA PIPETUA,liquado,Snacks,,9.21,,,no ars estimate
1/31/24,Wednesday,Colonia,-34.1295,-57.6605,credit,LA LOCANDA,dinner,Dining,,29.59,,,no ars estimate
1/31/24,Wednesday,Colonia,-34.1295,-57.6605,credit,ALBERTINE PAN Y CAFE,cinnamon roll place,Dining,,30.89,,,
2/1/24,Thursday,Montevideo,-34.9055,-56.1851,credit,AUTOSERVICIO GOAS,sunset wine,Entertainment,Alcohol,5.69,,,
2/1/24,Thursday,Montevideo,-34.9055,-56.1851,credit,MAREJO,water and wine,Entertainment,Alcohol,9.47,,,
2/1/24,Thursday,Colonia,-34.1295,-57.6605,credit,ALBERTINE PAN Y CAFE,coffee,Snacks,Coffee,12.77,,,
2/1/24,Thursday,Montevideo,-34.9055,-56.1851,credit,BAR RODO,alc,Entertainment,Alcohol,70.68,,,
2/1/24,Thursday,Montevideo,-34.9055,-56.1851,credit,HOTEL MEDIOMUNDO HOSTE,hostel mont,Accommodation,Hostel,107.56,,,
2/1/24,Thursday,Buenos Aires,-34.6037,-58.3816,debit,rent,Mid feb to mid March,Accommodation,Rent,500.00,,,
2/2/24,Friday,Montevideo,-34.9055,-56.1851,credit,TIM ALMACENES 1,beers,Entertainment,Alcohol,8.07,,,
2/2/24,Friday,Montevideo,-34.9055,-56.1851,credit,MC DONALD'S,lunch mcds,Dining,,10.99,,,
2/2/24,Friday,Montevideo,-34.9055,-56.1851,credit,Handy*Bar 36,alc,Entertainment,Alcohol,11.33,,,
2/2/24,Friday,Montevideo,-34.9055,-56.1851,credit,CULTO CANELONES,breakfast,Dining,,17.83,,,
2/2/24,Friday,Montevideo,-34.9055,-56.1851,credit,MONTEVIDEO AL SUR,drinks and shirt,Entertainment,Alcohol,63.82,,,
2/3/24,Saturday,Montevideo,-34.9055,-56.1851,credit,ANCAP EL FARO LTDA,gatorade,Snacks,,1.41,,,
2/3/24,Saturday,Montevideo,-34.9055,-56.1851,credit,UBER *TRIP,uber trip,Transportation,,6.40,,,
2/3/24,Saturday,Montevideo,-34.9055,-56.1851,credit,Handy*16HJ*Balbuena,wine bottle,Entertainment,Alcohol,7.68,,,
2/3/24,Saturday,Montevideo,-34.9055,-56.1851,credit,CARDENAL COFFEE,coffee,Snacks,Coffee,12.11,,,
2/3/24,Saturday,Montevideo,-34.9055,-56.1851,credit,TIENDA INGLESA,alc,Entertainment,Alcohol,12.23,,,
2/3/24,Saturday,Montevideo,-34.9055,-56.1851,credit,TIM ALMACENES 1,beers,Entertainment,Alcohol,16.16,,,
2/3/24,Saturday,Montevideo,-34.9055,-56.1851,credit,Handy*Pinche Calaca,mexican place,Dining,,41.68,,,
2/3/24,Saturday,Montevideo,-34.9055,-56.1851,credit,Handy*16HJ*Balbuena,wine tour,Excursion,,69.14,,,
2/4/24,Sunday,Montevideo,-34.9055,-56.1851,credit,HOTEL MEDIOMUNDO HOSTE,hostel mont,Accommodation,Hostel,5.12,,,
2/4/24,Sunday,Buenos Aires,-34.6037,-58.3816,cash,cqb,cqb,Groceries,,5.87,7000.00,,estimate usd
2/4/24,Sunday,Buenos Aires,-34.6037,-58.3816,credit,RAPPI ARG S.A.S.,chicken place,Dining,,13.03,15079.50,,
2/4/24,Sunday,Buenos Aires,-34.6037,-58.3816,credit,DIA TIENDA 408,groceries,Groceries,,14.55,16840.00,,
2/5/24,Monday,Buenos Aires,-34.6037,-58.3816,cash,produce,produce,Groceries,,4.59,5470.00,,estimate usd
2/5/24,Monday,Buenos Aires,-34.6037,-58.3816,cash,produce,produce,Groceries,,5.39,6430.00,,estimate usd
2/5/24,Monday,Buenos Aires,-34.6037,-58.3816,credit,Market Palermo (Soler4415,groceries,Groceries,,10.66,12339.95,,
2/5/24,Monday,Buenos Aires,-34.6037,-58.3816,credit,MERCADOPAGO*UBUCAFE 1942,lunch,Dining,,14.34,16600.00,,
2/5/24,Monday,Buenos Aires,-34.6037,-58.3816,credit,MERCADOPAGO*HTALALEMA1942,yellow fever shot,Health,,15.68,18154.80,,
2/5/24,Monday,Buenos Aires,-34.6037,-58.3816,credit,MERCADOPAGO*HTALALEMA1942,yellow fever shot,Health,,15.68,18154.80,,
2/5/24,Monday,Buenos Aires,-34.6037,-58.3816,cash,weed,weed,Misc,,16.76,20000.00,,estimate usd
2/5/24,Monday,Buenos Aires,-34.6037,-58.3816,credit,TIENDA NOVA 0778,protein powder,Health,,29.71,34400.00,,
2/5/24,Monday,Buenos Aires,-34.6037,-58.3816,credit,MERCADOPAGO*HTALALEMA1942,yellow fever shot,Health,,198.37,229649.56,,
2/6/24,Tuesday,Buenos Aires,-34.6037,-58.3816,cash,produce,produce,Groceries,,0.75,900.00,,estimate usd
2/6/24,Tuesday,Buenos Aires,-34.6037,-58.3816,cash,bread,bread,Groceries,,3.05,3640.00,,estimate usd
2/6/24,Tuesday,Buenos Aires,-34.6037,-58.3816,cash,groceries,carrefour,Groceries,,15.34,18302.00,,estimate usd
2/7/24,Wednesday,Buenos Aires,-34.6037,-58.3816,cash,paltas,paltas,Groceries,,4.53,5400.00,,estimate usd
2/8/24,Thursday,Buenos Aires,-34.6037,-58.3816,credit,RAPPI PRIME 9973,monthly charge,Misc,,2.66,,,
2/8/24,Thursday,Buenos Aires,-34.6037,-58.3816,credit,MERCADOPAGO*UBUCAFE 1942,coffee,Snacks,Coffee,6.21,7000.00,,
2/8/24,Thursday,Buenos Aires,-34.6037,-58.3816,cash,snacks,coto,Snacks,,10.29,12275.21,,estimate usd
2/9/24,Friday,Buenos Aires,-34.6037,-58.3816,cash,tip at mezcal,tip at mezcal,Dining,,1.68,2000.00,,estimate usd
2/9/24,Friday,Buenos Aires,-34.6037,-58.3816,cash,sodas,sodas,Snacks,,2.26,2700.00,,estimate usd
2/9/24,Friday,Buenos Aires,-34.6037,-58.3816,credit,COTO 024 1519,alc,Entertainment,Alcohol,7.55,8144.00,,
2/9/24,Friday,Buenos Aires,-34.6037,-58.3816,cash,lunch at the gyro place,lunch at the gyro place,Dining,,10.73,12800.00,,estimate usd
